question,answerRegex,expectedDisplay
"How do you open a database file 'data.db' with sqlite3?","(?i).*sqlite3.*data\\.db.*","sqlite3 data.db"
"How do you list all tables in the current SQLite database?","(?i).*\\.tables.*",".tables"
"How do you describe table structure of 'users'?","(?i).*pragma.*table_info.*\\('users'\\).*","PRAGMA table_info('users')"
"How do you select all columns from 'employees'?","(?i).*select.*\\*.*from.*employees.*","SELECT * FROM employees"
"How do you insert a row into 'users' (name, age)?","(?i).*insert.*into.*users.*\\(.*name.*age.*\\).*","INSERT INTO users (name, age) VALUES ('John', 25)"
"How do you delete all rows from table 'temp'?","(?i).*delete.*from.*temp.*","DELETE FROM temp"
"How do you drop table 'temp'?","(?i).*drop.*table.*temp.*","DROP TABLE temp"
"How do you add a new column 'email' to 'contacts'?","(?i).*alter.*table.*contacts.*add.*column.*email.*","ALTER TABLE contacts ADD COLUMN email TEXT"
"How do you rename column 'old' to 'new' in 'contacts'?","(?i).*alter.*table.*contacts.*rename.*column.*old.*to.*new.*","ALTER TABLE contacts RENAME COLUMN old TO new"
"How do you select top 10 rows?","(?i).*select.*from.*.*limit.*10.*","SELECT * FROM table LIMIT 10"
"How do you order 'users' by 'age' ascending?","(?i).*select.*from.*users.*order.*by.*age.*","SELECT * FROM users ORDER BY age"
"How do you create a new table 'orders' with id and total?","(?i).*create.*table.*orders.*\\(.*id.*total.*\\).*","CREATE TABLE orders (id INTEGER, total REAL)"
"How do you update 'price' in 'products' where id=5?","(?i).*update.*products.*set.*price.*=.*where.*id.*=.*","UPDATE products SET price = 99.99 WHERE id = 5"
"How do you show database schema (DDL)?","(?i).*\\.schema.*",".schema"
"How do you show all indexes?","(?i).*\\.indexes.*",".indexes"
"How do you import CSV data into table 'users'?","(?i).*\\.mode.*csv.*|.*\\.import.*users\\.csv.*users.*",".mode csv\n.import users.csv users"
"How do you export table 'users' to CSV file?","(?i).*\\.headers.*on.*|.*\\.mode.*csv.*|.*\\.output.*users\\.csv.*|.*select.*\\*.*from.*users.*",".headers on\n.mode csv\n.output users.csv\nSELECT * FROM users"
"How do you perform an INNER JOIN between 'users' and 'orders'?","(?i).*select.*from.*users.*join.*orders.*on.*","SELECT * FROM users JOIN orders ON users.id = orders.user_id"
"How do you perform a LEFT JOIN between 'a' and 'b'?","(?i).*select.*from.*a.*left.*join.*b.*on.*","SELECT * FROM a LEFT JOIN b ON a.id = b.id"
"How do you exit the SQLite shell?","(?i).*\\.exit.*|.*\\.quit.*",".exit"

