question,answerRegex,expectedDisplay
"How do you show all databases in MySQL?","(?i).*show.*databases.*","SHOW DATABASES"
"How do you connect to MySQL with user 'root'?","(?i).*mysql.*-u.*root.*","mysql -u root"
"How do you list all tables in the current database?","(?i).*show.*tables.*","SHOW TABLES"
"How do you describe a table named 'users'?","(?i).*desc.*users.*|.*describe.*users.*","DESC users"
"How do you select all columns from 'customers'?","(?i).*select.*\\*.*from.*customers.*","SELECT * FROM customers"
"How do you select name and email from 'users'?","(?i).*select.*name.*email.*from.*users.*","SELECT name, email FROM users"
"How do you insert a row into 'users' with (name, age)?","(?i).*insert.*into.*users.*\\(.*name.*age.*\\).*","INSERT INTO users (name, age) VALUES ('John', 25)"
"How do you update 'price' in 'products' where id=1?","(?i).*update.*products.*set.*price.*=.*where.*id.*=.*","UPDATE products SET price = 99.99 WHERE id = 1"
"How do you delete all rows from 'temp' table?","(?i).*delete.*from.*temp.*","DELETE FROM temp"
"How do you remove the table 'temp' completely?","(?i).*drop.*table.*temp.*","DROP TABLE temp"
"How do you create a database named 'shopdb'?","(?i).*create.*database.*shopdb.*","CREATE DATABASE shopdb"
"How do you use (switch to) a database named 'shopdb'?","(?i).*use.*shopdb.*","USE shopdb"
"How do you add a column 'created_at' to 'orders'?","(?i).*alter.*table.*orders.*add.*column.*created_at.*","ALTER TABLE orders ADD COLUMN created_at TIMESTAMP"
"How do you create an index on 'email' column in 'users'?","(?i).*create.*index.*on.*users.*\\(.*email.*\\).*","CREATE INDEX idx_email ON users (email)"
"How do you perform an INNER JOIN between 'users' and 'orders'?","(?i).*select.*from.*users.*join.*orders.*on.*","SELECT * FROM users JOIN orders ON users.id = orders.user_id"
"How do you perform a LEFT JOIN between 'a' and 'b'?","(?i).*select.*from.*a.*left.*join.*b.*on.*","SELECT * FROM a LEFT JOIN b ON a.id = b.id"
"How do you limit query to first 10 rows?","(?i).*limit.*10.*","SELECT * FROM table LIMIT 10"
"How do you order results by 'price' descending?","(?i).*order.*by.*price.*desc.*","SELECT * FROM products ORDER BY price DESC"
"How do you count number of rows in table 'sales'?","(?i).*select.*count.*\\(.*\\*.*\\).*from.*sales.*","SELECT COUNT(*) FROM sales"
"How do you group sales by region and sum amount?","(?i).*select.*region.*sum.*\\(.*amount.*\\).*from.*sales.*group.*by.*region.*","SELECT region, SUM(amount) FROM sales GROUP BY region"
"How do you show current MySQL user?","(?i).*select.*user.*\\(\\).*|.*select.*current_user.*\\(\\).*","SELECT USER()"
"How do you show MySQL server version?","(?i).*select.*version.*\\(\\).*","SELECT VERSION()"
"How do you create a user 'dev' with password '1234'?","(?i).*create.*user.*'dev'.*identified.*by.*'1234'.*","CREATE USER 'dev' IDENTIFIED BY '1234'"
"How do you grant SELECT on 'sales' to 'dev'?","(?i).*grant.*select.*on.*sales.*to.*'dev'.*","GRANT SELECT ON sales TO 'dev'"
"How do you revoke SELECT on 'sales' from 'dev'?","(?i).*revoke.*select.*on.*sales.*from.*'dev'.*","REVOKE SELECT ON sales FROM 'dev'"
"How do you show privileges for user 'dev'?","(?i).*show.*grants.*for.*'dev'.*","SHOW GRANTS FOR 'dev'"
"How do you backup 'shopdb' database to file?","(?i).*mysqldump.*shopdb.*>.*shopdb\\.sql.*","mysqldump shopdb > shopdb.sql"
"How do you restore from 'shopdb.sql'?","(?i).*mysql.*shopdb.*<.*shopdb\\.sql.*","mysql shopdb < shopdb.sql"
"How do you exit the MySQL shell?","(?i).*exit.*|.*quit.*","EXIT"

