question,answerRegex,expectedDisplay
"Display only the first field of each line in 'users.txt' (fields separated by ':') using cut (-d ':' -f 1).","^cut\s+-d\s+:\s+-f\s+1\s+users\.txt$","cut -d : -f 1 users.txt"
"Extract columns 2 and 3 from 'data.csv' separated by commas (-d ',' -f 2,3).","^cut\s+-d\s+,\s+-f\s+2,3\s+data\.csv$","cut -d , -f 2,3 data.csv"
"Replace all occurrences of 'foo' with 'bar' in 'notes.txt' and print to stdout (sed 's/foo/bar/g').","^sed\s+'s/foo/bar/g'\s+notes\.txt$","sed 's/foo/bar/g' notes.txt"
"Delete blank lines from 'log.txt' (sed '/^$/d').","^sed\s+'/^$/d'\s+log\.txt$","sed '/^$/d' log.txt"
"Print only lines 10–20 from 'report.txt' (sed -n '10,20p').","^sed\s+-n\s+'10,20p'\s+report\.txt$","sed -n '10,20p' report.txt"
"Print the second column of 'scores.txt' (awk '{print $2}').","^awk\s+'\\{print\s+\\$2\\}'\s+scores\.txt$","awk '{print $2}' scores.txt"
"Print lines where the third field > 50 in 'scores.txt' (awk '$3>50').","^awk\s+'\\$3>50'\s+scores\.txt$","awk '$3>50' scores.txt"
"Sum the numbers in column 2 of 'data.txt' (awk '{sum+=\$2} END {print sum}').","^awk\s+'\\{sum\\+=\\$2\\}\\s+END\\s+\\{print\\s+sum\\}'\s+data\.txt$","awk '{sum+=$2} END {print sum}' data.txt"
"Translate lowercase to uppercase from stdin (tr 'a-z' 'A-Z').","^tr\s+'a-z'\s+'A-Z'$","tr 'a-z' 'A-Z'"
"Remove all digits from input text (tr -d '0-9').","^tr\s+-d\s+'0-9'$","tr -d '0-9'"
"Combine 'file1.txt' and 'file2.txt' line-by-line (paste).","^paste\s+file1\.txt\s+file2\.txt$","paste file1.txt file2.txt"
"Join sorted files 'a.txt' and 'b.txt' on first field (join).","^join\s+a\.txt\s+b\.txt$","join a.txt b.txt"
"Display lines common to 'a.txt' and 'b.txt' (comm -12).","^comm\s+-12\s+a\.txt\s+b\.txt$","comm -12 a.txt b.txt"
"Find differences between two files (diff -u).","^diff\s+-u\s+file1\.txt\s+file2\.txt$","diff -u file1.txt file2.txt"
"Count frequency of unique lines in 'words.txt' (sort | uniq -c | sort -nr).","^sort\s+words\.txt\s*\|\s*uniq\s+-c\s*\|\s*sort\s+-nr$","sort words.txt | uniq -c | sort -nr"
"Replace tabs with spaces in 'code.txt' (expand -t 4).","^expand\s+-t\s+4\s+code\.txt$","expand -t 4 code.txt"
"Compress repeating spaces in 'data.txt' (tr -s ' ').","^tr\s+-s\s+' '\s*<\s*data\.txt$","tr -s ' ' < data.txt"
"Read from stdin and write both to file and stdout (tee output.log).","^tee\s+output\.log$","tee output.log"
"Read from stdin, append output to 'all.log' instead of overwriting (-a).","^tee\s+-a\s+all\.log$","tee -a all.log"
"Find all '.txt' files and execute wc -l on each (-type f -name '*.txt' -exec wc -l {} ;).","^find\s+\.\s+-type\s+f\s+-name\s+['\"]\*\.txt['\"]\s+-exec\s+wc\s+-l\s+\{\}\s+\\;$","find . -type f -name '*.txt' -exec wc -l {} \\;"
"Find all '.log' files and delete them (-type f -name '*.log' -delete).","^find\s+\.\s+-type\s+f\s+-name\s+['\"]\*\.log['\"]\s+-delete$","find . -type f -name '*.log' -delete"
"Search recursively for 'ERROR' in .py files (-r --include='*.py').","^grep\s+-r\s+--include=['\"]\*\.py['\"]\s+ERROR\s+\.$","grep -r --include='*.py' ERROR ."
"Search case-insensitive for 'fail' excluding 'tmp' directory (-ri --exclude-dir=tmp).","^grep\s+-ri\s+--exclude-dir=tmp\s+fail\s+\.$","grep -ri --exclude-dir=tmp fail ."
"Replace 'foo' with 'bar' in all .txt files (sed -i 's/foo/bar/g').","^sed\s+-i\s+'s/foo/bar/g'\s+\*.txt$","sed -i 's/foo/bar/g' *.txt"
"Extract all IP addresses from 'access.log' using grep -E regex.","^grep\s+-E\s+'([0-9]{1,3}\\.){3}[0-9]{1,3}'\s+access\.log$","grep -E '([0-9]{1,3}\\.){3}[0-9]{1,3}' access.log"
